,Movie,Genre,Year,Length (Minutes),Rating,Metascore,votes,Gross(Millions)
482,Planet of the Apes,"Adventure, Sci-Fi",1968,112,8.0,79.0,181493,33.4
483,Chungking Express,"Comedy, Crime, Drama",1994,102,8.0,78.0,83403,0.6
484,Stalker,"Drama, Sci-Fi",1979,162,8.1,,135238,0.23
485,The Apartment,"Comedy, Drama, Romance",1960,125,8.3,94.0,182681,
486,Boyhood,Drama,2014,165,7.9,100.0,355718,25.38
487,Dirty Harry,"Action, Crime, Thriller",1971,102,7.7,87.0,158270,35.9
488,The Bourne Supremacy,"Action, Mystery, Thriller",2004,108,7.7,73.0,465639,176.24
489,The Road Warrior,"Action, Adventure, Sci-Fi",1981,96,7.6,77.0,182338,12.47
490,Sling Blade,Drama,1996,135,8.0,84.0,94734,24.48
491,Life of Brian,Comedy,1979,94,8.0,77.0,401158,
492,The Holy Mountain,"Adventure, Drama, Fantasy",1973,114,7.8,76.0,43839,0.06
493,Isle of Dogs,"Animation, Adventure, Comedy",2018,101,7.8,82.0,170416,32.02
494,Toy Story 2,"Animation, Adventure, Comedy",1999,92,7.9,88.0,582592,245.85
495,Akira,"Animation, Action, Drama",1988,124,8.0,67.0,188053,0.55
496,Philadelphia,Drama,1993,125,7.7,66.0,243915,77.32
497,High Noon,"Drama, Thriller, Western",1952,85,8.0,89.0,105207,9.45
498,Enter the Dragon,"Action, Crime, Drama",1973,102,7.6,83.0,105654,25.0
499,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",1969,110,8.0,66.0,217172,102.31
500,Wreck-It Ralph,"Animation, Adventure, Comedy",2012,101,7.7,72.0,424827,189.42
501,Dawn of the Planet of the Apes,"Action, Adventure, Drama",2014,130,7.6,79.0,443601,208.55
502,The Man from Earth,"Drama, Fantasy, Mystery",2007,87,7.9,,188964,
503,Touch of Evil,"Crime, Drama, Film-Noir",1958,95,8.0,99.0,105447,2.24
504,Fanny and Alexander,Drama,1982,188,8.1,100.0,64342,4.97
505,The Trial of the Chicago 7,"Drama, History, Thriller",2020,129,7.7,76.0,178290,
506,777 Charlie,"Adventure, Comedy, Drama",2022,164,8.9,,31560,
507,Dogville,"Crime, Drama",2003,178,8.0,60.0,150059,1.53
508,This Is Spinal Tap,"Comedy, Music",1984,82,7.9,92.0,140707,4.74
509,I Am Sam,Drama,2001,132,7.6,28.0,150997,40.31
510,The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",1988,85,7.6,76.0,171542,78.76
511,Naked,"Comedy, Drama",1993,131,7.7,85.0,40310,1.77
512,Dog Day Afternoon,"Biography, Crime, Drama",1975,125,8.0,86.0,258598,50.0
513,Searching,"Drama, Horror, Mystery",2018,102,7.6,71.0,164154,26.02
514,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",2009,152,7.8,76.0,217729,10.1
515,Roma,Drama,2018,135,7.7,96.0,159489,
516,Glory,"Biography, Drama, History",1989,122,7.8,78.0,136301,26.83
517,Snow White and the Seven Dwarfs,"Animation, Adventure, Family",1937,83,7.6,96.0,201178,184.93
518,Before Sunset,"Drama, Romance",2004,80,8.1,90.0,265617,
519,The Conversation,"Drama, Mystery, Thriller",1974,113,7.8,87.0,113229,4.42
520,The Fall,"Adventure, Drama, Fantasy",2006,117,7.8,64.0,113083,2.28
521,Frankenstein,"Drama, Horror, Sci-Fi",1931,70,7.8,91.0,74195,
522,Sunset Blvd.,"Drama, Film-Noir",1950,110,8.4,,222954,
523,Match Point,"Drama, Romance, Thriller",2005,124,7.6,72.0,219559,23.09
524,Dark Waters,"Biography, Drama, History",2019,126,7.6,73.0,89784,
525,In the Name of the Father,"Biography, Crime, Drama",1993,133,8.1,84.0,176318,
526,Sabrina,"Comedy, Drama, Romance",1954,113,7.6,72.0,65945,
527,The Birds,"Drama, Horror, Mystery",1963,119,7.6,90.0,191048,11.4
528,Persona,"Drama, Thriller",1966,83,8.1,86.0,119912,
529,Togo,"Adventure, Biography, Drama",2019,113,7.9,69.0,49759,
530,Gandhi,"Biography, Drama, History",1982,191,8.1,79.0,232782,
531,Amores Perros,"Drama, Thriller",2000,154,8.1,83.0,241639,
532,This Is England,"Crime, Drama",2006,101,7.7,86.0,123268,0.33
533,Harakiri,"Action, Drama, Mystery",1962,133,8.6,85.0,57745,
534,The Name of the Rose,"Drama, Mystery, Thriller",1986,130,7.7,54.0,109844,7.15
535,Detachment,Drama,2011,98,7.7,52.0,87280,0.07
536,Goldfinger,"Action, Adventure, Thriller",1964,110,7.7,87.0,192148,51.08
537,The Bride of Frankenstein,"Drama, Horror, Sci-Fi",1935,75,7.8,95.0,49592,4.36
538,Gaslight,"Crime, Drama, Mystery",1944,114,7.8,78.0,30069,
539,"Paris, Texas",Drama,1984,145,8.1,80.0,107491,2.18
540,Spartacus,"Adventure, Biography, Drama",1960,197,7.9,87.0,135994,30.0
541,My Fair Lady,"Drama, Family, Musical",1964,170,7.8,95.0,96382,72.0
542,A Silent Voice: The Movie,"Animation, Drama",2016,130,8.1,78.0,82948,
543,Annie Hall,"Comedy, Romance",1977,93,8.0,92.0,266857,39.2
544,Happiness,"Comedy, Drama",1998,134,7.7,81.0,71014,2.81
545,Ed Wood,"Biography, Comedy, Drama",1994,127,7.8,70.0,177560,5.89
546,Ghost in the Shell,"Animation, Action, Crime",1995,83,7.9,76.0,144428,0.52
547,The Bridge on the River Kwai,"Adventure, Drama, War",1957,161,8.2,87.0,221968,
548,Rocketry: The Nambi Effect,"Biography, Drama",2022,157,8.8,,50478,
549,The Searchers,"Adventure, Drama, Western",1956,119,7.9,94.0,90417,
550,The Raid: Redemption,"Action, Crime, Thriller",2011,101,7.6,73.0,206044,4.11
551,Demon Slayer the Movie: Mugen Train,"Animation, Action, Adventure",2020,117,8.2,72.0,58647,47.7
552,The Seventh Seal,"Drama, Fantasy",1957,96,8.1,88.0,186385,
553,The French Connection,"Action, Crime, Drama",1971,104,7.7,94.0,124170,15.63
554,Fried Green Tomatoes,Drama,1991,130,7.7,64.0,75984,82.42
555,The Great Beauty,Drama,2013,141,7.7,86.0,91810,2.85
556,Vikram,"Action, Crime, Thriller",2022,175,8.4,,58401,
557,The Jungle Book,"Animation, Adventure, Comedy",1967,78,7.6,65.0,184750,141.84
558,Baahubali: The Beginning,"Action, Drama",2015,159,8.0,,126169,6.74
559,The King of Comedy,"Comedy, Crime, Drama",1982,109,7.8,73.0,105366,2.5
560,A Separation,Drama,2011,123,8.3,95.0,246074,
561,Nosferatu,"Fantasy, Horror",1922,94,7.9,,98713,
562,Kung Fu Hustle,"Action, Comedy, Fantasy",2004,99,7.7,78.0,141225,17.11
563,8½,Drama,1963,138,8.0,92.0,118915,0.05
564,Seven Pounds,Drama,2008,123,7.6,36.0,304479,69.95
565,The Straight Story,"Biography, Drama",1999,112,8.0,86.0,91431,6.2
566,The Outlaw Josey Wales,Western,1976,135,7.8,69.0,74777,31.8
567,M,"Crime, Mystery, Thriller",1931,99,8.3,,158987,
568,Hunt for the Wilderpeople,"Adventure, Comedy, Drama",2016,101,7.8,81.0,131749,5.2
569,The Wild Bunch,"Action, Adventure, Western",1969,135,7.9,97.0,85494,12.06
570,Rushmore,"Comedy, Drama, Romance",1998,93,7.6,86.0,186983,17.11
571,The Quiet Man,"Comedy, Drama, Romance",1952,129,7.7,85.0,39358,10.55
572,Tokyo Godfathers,"Animation, Adventure, Comedy",2003,92,7.8,73.0,41497,0.13
573,The Best Offer,"Crime, Drama, Mystery",2013,131,7.8,49.0,120477,0.09
574,Mississippi Burning,"Crime, Drama, Mystery",1988,128,7.8,65.0,101977,34.6
575,October Sky,"Biography, Drama, Family",1999,108,7.8,71.0,92258,32.48
576,Lucky Number Slevin,"Crime, Drama, Thriller",2006,110,7.7,53.0,314865,22.49
577,The Maltese Falcon,"Crime, Film-Noir, Mystery",1941,100,8.0,97.0,159677,2.11
578,From Here to Eternity,"Drama, Romance, War",1953,118,7.6,85.0,47641,30.5
579,Rio Bravo,Western,1959,141,8.0,93.0,63450,12.54
580,Malcolm X,"Biography, Drama, History",1992,202,7.7,73.0,95795,48.17
581,All the President's Men,"Drama, History, Thriller",1976,138,7.9,84.0,117004,70.6
582,Hero,"Action, Adventure, Drama",2002,120,7.9,85.0,182314,53.71
583,The Best Years of Our Lives,"Drama, Romance, War",1946,170,8.1,93.0,65335,
584,Kramer vs. Kramer,Drama,1979,105,7.8,77.0,146569,106.26
585,Network,Drama,1976,121,8.1,83.0,160653,
586,La dolce vita,"Comedy, Drama",1960,174,8.0,95.0,74019,19.52
587,Changeling,"Biography, Crime, Drama",2008,141,7.8,63.0,256915,35.74
588,The Bridges of Madison County,"Drama, Romance",1995,135,7.6,69.0,82859,71.52
589,Ran,"Action, Drama, War",1985,162,8.2,96.0,126597,
590,Charade,"Comedy, Mystery, Romance",1963,113,7.9,83.0,78776,13.47
591,Serpico,"Biography, Crime, Drama",1973,130,7.7,81.0,124576,29.8
592,21 Grams,"Crime, Drama, Thriller",2003,124,7.6,70.0,238431,16.29
593,Solaris,"Drama, Mystery, Sci-Fi",1972,167,8.0,93.0,92309,
594,Bonnie and Clyde,"Action, Biography, Crime",1967,111,7.7,86.0,114203,
595,Witness for the Prosecution,"Crime, Drama, Mystery",1957,116,8.4,76.0,126333,
596,How to Train Your Dragon 2,"Animation, Action, Adventure",2014,102,7.8,77.0,337547,177.0
597,Ip Man,"Action, Biography, Drama",2008,106,8.0,59.0,224970,
598,Billy Elliot,"Drama, Music",2000,110,7.7,74.0,136002,22.0
599,Papillon,"Biography, Crime, Drama",1973,151,8.0,58.0,131651,53.27
600,Ponyo,"Animation, Adventure, Comedy",2008,101,7.6,86.0,145466,15.09
601,Paths of Glory,"Drama, War",1957,88,8.4,90.0,198355,
602,Before Midnight,"Drama, Romance",2013,109,7.9,94.0,159701,8.11
603,Night of the Living Dead,"Horror, Thriller",1968,96,7.8,89.0,130694,0.09
604,Miller's Crossing,"Crime, Drama, Thriller",1990,115,7.7,66.0,136378,5.08
605,Ordinary People,Drama,1980,124,7.7,86.0,53020,54.8
606,Belle de Jour,"Drama, Romance",1967,100,7.7,,45478,0.03
607,The Last Picture Show,"Drama, Romance",1971,118,8.0,93.0,48985,29.13
608,The Remains of the Day,"Drama, Romance",1993,134,7.8,86.0,75474,22.95
609,Three Colors: Blue,"Drama, Music, Mystery",1993,94,7.9,85.0,103264,1.32
610,The Third Man,"Film-Noir, Mystery, Thriller",1949,93,8.1,97.0,172691,
611,Cinderella Man,"Biography, Drama, Romance",2005,144,8.0,69.0,189227,61.65
612,Hotel Rwanda,"Biography, Drama, History",2004,121,8.1,79.0,356849,
613,Sing Street,"Comedy, Drama, Music",2016,106,7.9,79.0,94632,3.24
614,Kubo and the Two Strings,"Animation, Action, Adventure",2016,101,7.7,84.0,130372,48.02
615,Cabaret,"Drama, Music, Musical",1972,124,7.8,80.0,55842,42.77
616,Barton Fink,"Comedy, Drama, Thriller",1991,116,7.6,69.0,123069,6.15
617,Rebecca,"Drama, Film-Noir, Mystery",1940,130,8.1,86.0,138250,
618,Shoplifters,"Crime, Drama, Thriller",2018,121,7.9,93.0,77625,3.31
619,Double Indemnity,"Crime, Drama, Film-Noir",1944,107,8.3,95.0,158390,
620,Hamlet,Drama,1996,242,7.8,,38542,4.41
621,Jai Bhim,"Crime, Drama, Mystery",2021,164,8.8,,202157,
622,Ray,"Biography, Drama, Music",2004,152,7.7,73.0,149199,75.33
623,Kiki's Delivery Service,"Animation, Adventure, Family",1989,103,7.8,83.0,146109,
624,Wings of Desire,"Drama, Fantasy, Romance",1987,128,8.0,79.0,71906,3.33
625,50/50,"Comedy, Drama, Romance",2011,100,7.6,72.0,331913,35.01
626,The Insider,"Biography, Drama, Thriller",1999,157,7.8,84.0,172442,28.97
627,Zulu,"Drama, History, War",1964,138,7.7,77.0,39789,
628,The Wind Rises,"Animation, Biography, Drama",2013,126,7.7,83.0,87150,5.21
629,Once,"Drama, Music, Romance",2007,86,7.8,89.0,117327,9.44
630,Pink Floyd: The Wall,"Drama, Fantasy, Music",1982,95,8.0,47.0,81750,22.24
631,A Streetcar Named Desire,Drama,1951,122,7.9,97.0,109196,8.0
632,King Kong,"Adventure, Horror, Sci-Fi",1933,100,7.9,90.0,86401,10.0
633,Evil Dead II,"Comedy, Horror",1987,84,7.7,72.0,166548,5.92
634,Dancer in the Dark,"Crime, Drama, Musical",2000,140,7.9,61.0,110945,4.18
635,The Killing Fields,"Biography, Drama, History",1984,141,7.8,76.0,56162,34.7
636,The Last King of Scotland,"Biography, Drama, History",2006,123,7.6,74.0,187710,17.61
637,Like Stars on Earth,"Drama, Family",2007,165,8.4,,194393,
638,Mommy,Drama,2014,139,8.0,74.0,57759,3.49
639,Dawn of the Dead,"Horror, Thriller",1978,127,7.8,71.0,122273,5.1
640,Roman Holiday,"Comedy, Romance",1953,118,8.0,78.0,139609,
641,The Celebration,Drama,1998,105,8.1,82.0,87879,1.65
642,L'Avventura,"Drama, Mystery, Romance",1960,144,7.8,,30367,
643,The Right Stuff,"Adventure, Biography, Drama",1983,193,7.8,91.0,62086,21.5
644,On the Waterfront,"Crime, Drama, Thriller",1954,108,8.1,91.0,156201,
645,Mary and Max,"Animation, Comedy, Drama",2009,92,8.1,,178164,
646,The Great Dictator,"Comedy, Drama, War",1940,125,8.4,,224848,
647,All About Eve,Drama,1950,138,8.2,98.0,132213,
648,Ikiru,Drama,1952,143,8.3,91.0,79358,
649,Being There,"Comedy, Drama",1979,130,8.0,83.0,73420,30.18
650,My Left Foot,"Biography, Drama",1989,103,7.9,97.0,75181,14.74
651,Guess Who's Coming to Dinner,"Comedy, Drama",1967,108,7.8,63.0,45927,56.7
652,Anatomy of a Murder,"Drama, Mystery",1959,161,8.0,95.0,67079,11.9
653,Pride,"Biography, Comedy, Drama",2014,119,7.8,79.0,58127,
654,The Grapes of Wrath,Drama,1940,129,8.1,96.0,94073,
655,The Night of the Hunter,"Crime, Drama, Film-Noir",1955,92,8.0,99.0,90418,0.65
656,Rebel Without a Cause,Drama,1955,111,7.6,89.0,91930,
657,The Last Emperor,"Biography, Drama, History",1987,163,7.7,76.0,104480,43.98
658,The Taking of Pelham One Two Three,"Action, Crime, Thriller",1974,104,7.6,68.0,31502,2.49
659,The Artist,"Comedy, Drama, Romance",2011,100,7.9,89.0,242320,44.67
660,The Lion in Winter,"Biography, Drama, History",1968,134,7.9,,31944,22.28
661,Drishyam 2,"Crime, Drama, Thriller",2021,152,8.4,,37716,
662,Mother,"Crime, Drama, Mystery",2009,129,7.8,79.0,65336,0.55
663,Paprika,"Animation, Drama, Fantasy",2006,90,7.7,81.0,84631,0.88
664,Nausicaä of the Valley of the Wind,"Animation, Adventure, Sci-Fi",1984,117,8.0,86.0,170405,0.5
665,The Man from Nowhere,"Action, Crime, Drama",2010,119,7.7,,70490,0.01
666,The Station Agent,"Comedy, Drama",2003,89,7.6,81.0,71077,5.74
667,Rashomon,"Crime, Drama, Mystery",1950,88,8.2,98.0,169632,
668,Black Book,"Drama, Thriller, War",2006,145,7.7,71.0,77524,4.4
669,25th Hour,Drama,2002,135,7.6,68.0,179886,13.06
670,Harold and Maude,"Comedy, Drama, Romance",1971,91,7.9,62.0,78192,
671,Stagecoach,"Adventure, Drama, Western",1939,96,7.8,93.0,49815,
672,All That Jazz,"Drama, Music, Musical",1979,123,7.8,72.0,32535,37.82
673,Finding Neverland,"Biography, Drama, Family",2004,106,7.7,67.0,207360,51.68
674,The Man Who Shot Liberty Valance,"Drama, Western",1962,123,8.1,94.0,76887,
675,Letters from Iwo Jima,"Action, Adventure, Drama",2006,141,7.9,89.0,163893,13.76
676,Castle in the Sky,"Animation, Adventure, Family",1986,125,8.0,78.0,167750,
677,Infernal Affairs,"Action, Crime, Drama",2002,101,8.0,75.0,125625,0.17
678,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy",1999,81,7.7,73.0,206033,52.04
679,The Thin Man,"Comedy, Crime, Mystery",1934,91,7.9,86.0,30362,
680,Paper Moon,"Comedy, Crime, Drama",1973,102,8.1,77.0,48426,30.93
681,Mirror,"Biography, Drama",1975,107,8.0,80.0,47586,0.18
682,Beasts of No Nation,"Drama, War",2015,137,7.7,79.0,82316,0.08
683,PK,"Comedy, Drama, Sci-Fi",2014,153,8.1,,189134,10.62
684,It Happened One Night,"Comedy, Romance",1934,105,8.1,87.0,104947,
685,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",1962,134,8.0,75.0,57316,4.05
686,Me and Earl and the Dying Girl,"Comedy, Drama, Romance",2015,105,7.7,74.0,132883,6.74
687,The Legend of 1900,"Drama, Music, Romance",1998,169,8.0,58.0,65096,0.26
688,Tokyo Story,Drama,1953,136,8.2,,62497,
689,In the Heat of the Night,"Drama, Mystery, Thriller",1967,110,7.9,75.0,77222,24.38
690,Andhadhun,"Comedy, Crime, Music",2018,139,8.2,,94380,1.37
691,Wolfwalkers,"Animation, Adventure, Family",2020,103,8.0,87.0,32979,
692,Modern Times,"Comedy, Drama, Romance",1936,87,8.5,96.0,243395,
693,Uri: The Surgical Strike,"Action, Drama, History",2019,138,8.2,,64775,4.19
694,Fantastic Planet,"Animation, Sci-Fi",1973,72,7.7,73.0,32269,0.19
695,Baahubali 2: The Conclusion,"Action, Drama",2017,167,8.2,,102536,20.19
696,Dial M for Murder,"Crime, Thriller",1954,105,8.2,75.0,177099,
697,Three Colors: Red,"Drama, Mystery, Romance",1994,99,8.1,100.0,104130,4.04
698,Breathless,"Crime, Drama",1960,90,7.7,,82806,0.34
699,The Longest Day,"Action, Drama, History",1962,178,7.7,75.0,56517,39.1
700,Badlands,"Action, Crime, Drama",1973,94,7.7,93.0,73852,
701,The Hustler,"Drama, Sport",1961,134,8.0,90.0,82739,8.28
702,Patton,"Biography, Drama, War",1970,172,7.9,91.0,103038,61.7
703,The Philadelphia Story,"Comedy, Romance",1940,112,7.9,96.0,70024,
704,A Very Long Engagement,"Drama, Mystery, Romance",2004,133,7.6,76.0,74242,6.17
705,Freaks,"Drama, Horror",1932,64,7.8,80.0,47212,0.63
706,The Man Who Would Be King,"Adventure, War",1975,129,7.8,91.0,49574,
707,Days of Heaven,"Drama, Romance",1978,94,7.8,93.0,58920,
708,The Manchurian Candidate,"Drama, Thriller",1962,126,7.9,94.0,76310,
709,Judgment at Nuremberg,"Drama, War",1961,179,8.3,60.0,78367,
710,The African Queen,"Adventure, Drama, Romance",1951,105,7.7,91.0,79599,0.54
711,Bicycle Thieves,Drama,1948,89,8.3,,164546,
712,Fantasia,"Animation, Family, Fantasy",1940,125,7.7,96.0,97636,76.41
713,Open Your Eyes,"Drama, Mystery, Sci-Fi",1997,119,7.7,,69976,0.37
714,Talk to Her,"Drama, Mystery, Romance",2002,112,7.9,86.0,113331,9.28
715,Loving Vincent,"Animation, Biography, Crime",2017,94,7.8,62.0,58739,6.74
716,The Day the Earth Stood Still,"Drama, Sci-Fi",1951,92,7.8,,82597,
717,Rope,"Crime, Drama, Mystery",1948,80,7.9,73.0,144927,
718,Whisper of the Heart,"Animation, Drama, Family",1995,111,7.9,75.0,63708,
719,Manhattan,"Comedy, Drama, Romance",1979,96,7.9,83.0,141223,45.7
720,Perfect Strangers,"Comedy, Drama",2016,96,7.7,,66134,
721,Gangs of Wasseypur,"Action, Comedy, Crime",2012,321,8.2,89.0,97084,
722,Neon Genesis Evangelion: The End of Evangelion,"Animation, Action, Drama",1997,87,8.0,,55829,
723,Breaking the Waves,Drama,1996,159,7.8,76.0,67778,4.04
724,The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller",1920,67,8.0,,64882,
725,Amour,Drama,2012,127,7.9,94.0,101258,6.74
726,The Raid 2,"Action, Crime, Thriller",2014,150,7.9,71.0,124262,2.63
727,The Killing,"Crime, Drama, Film-Noir",1956,84,8.0,91.0,90800,
728,Kaithi,"Action, Adventure, Crime",2019,145,8.5,,32889,
729,Short Cuts,"Comedy, Drama",1993,188,7.7,81.0,45400,6.11
730,Good Bye Lenin!,"Comedy, Drama, Romance",2003,121,7.7,68.0,147178,4.06
731,The 400 Blows,"Crime, Drama",1959,99,8.1,,119048,
732,Nebraska,"Adventure, Comedy, Drama",2013,115,7.7,86.0,119056,17.65
